date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-06-02,0050,元大台灣50,106.3,106.3,104.2,105.7,117160,-33889,-70,-9918,3.98,96.01,100.0
2026-06-02,0051,元大中型100,145.25,145.4,143.0,145.2,121,-15,0,-7,0.5,99.49,100.0
2026-06-02,0052,富邦科技,62.85,62.9,61.6,62.7,38707,-10071,0,-430,2.24,97.75,100.0
2026-06-02,0053,元大電子,245.0,246.85,241.7,243.35,42,0,0,0,1.36,98.63,100.0
2026-06-02,0055,元大MSCI金融,35.9,36.59,35.76,36.59,1212,99,0,463,1.42,98.57,100.0
2026-06-02,0056,元大高股息,52.2,52.8,51.45,52.8,69462,20172,0,5226,1.03,98.96,100.0
2026-06-02,0057,富邦摩台,313.25,313.25,311.7,312.35,7,0,0,-1,6.88,93.11,100.0
2026-06-02,0061,元大寶滬深,24.97,25.29,24.85,25.28,406,11,0,370,5.1,94.89,100.0
2026-06-02,1101,台泥,24.55,24.8,24.4,24.65,33068,302,694,-51,15.15,84.84,100.0
2026-06-02,1102,亞泥,33.7,34.4,33.6,33.8,26335,-2196,-174,51,13.79,86.2,100.0
2026-06-02,1103,嘉泥,13.4,13.4,13.1,13.25,569,-21,0,-6,4.53,95.46,100.0
2026-06-02,1104,環泥,28.0,28.6,27.95,28.6,1206,-154,0,-5,15.34,84.65,100.0
2026-06-02,1108,幸福,13.85,13.85,13.75,13.8,300,7,0,0,1.25,98.74,100.0
2026-06-02,1109,信大,14.65,14.65,14.5,14.65,98,1,0,-2,2.34,97.65,100.0
2026-06-02,1110,東泥,14.6,14.6,14.25,14.5,165,6,0,-7,5.87,94.12,100.0
2026-06-02,1201,味全,12.35,12.35,12.2,12.2,594,-248,0,-1,5.07,94.92,100.0
2026-06-02,1203,味王,43.5,44.15,43.4,44.15,19,7,0,-2,1.73,98.26,100.0
2026-06-02,1210,大成,52.2,53.3,51.7,52.8,10328,-5476,5379,-28,11.27,88.72,100.0
2026-06-02,1213,大飲,8.25,8.44,8.25,8.44,5,0,0,0,0.01,99.98,100.0
2026-06-02,1215,卜蜂,121.0,121.5,116.5,117.5,4538,169,-1752,-1,35.47,64.52,100.0
2026-06-02,1216,統一,73.3,74.3,72.0,74.2,25835,-10590,10715,-134,31.62,68.37,100.0
2026-06-02,1217,愛之味,9.86,9.86,9.75,9.84,878,161,0,-1,7.62,92.37,100.0
2026-06-02,1218,泰山,19.3,19.5,19.15,19.4,1330,326,0,-19,4.06,95.93,100.0
2026-06-02,1219,福壽,12.7,12.8,12.65,12.75,518,-163,0,-13,5.53,94.46,100.0
2026-06-02,1220,台榮,11.7,11.75,11.6,11.75,160,5,0,0,7.08,92.91,100.0
2026-06-02,1225,福懋油,29.7,29.8,29.3,29.6,125,16,0,-5,1.39,98.6,100.0
2026-06-02,1227,佳格,28.2,28.3,27.95,27.95,5123,3078,-135,-10,5.9,94.09,100.0
2026-06-02,1229,聯華,40.4,43.9,40.05,43.2,14802,-2074,0,-26,8.89,91.1,100.0
2026-06-02,1231,聯華食,85.8,86.2,85.3,86.1,367,104,0,-5,2.82,97.17,100.0
2026-06-02,1232,大統益,147.5,148.5,147.0,148.0,224,75,0,-1,2.52,97.47,100.0
2026-06-02,1233,天仁,27.9,27.9,27.6,27.6,51,-6,0,-2,5.67,94.32,100.0
2026-06-02,1234,黑松,34.5,34.9,34.4,34.9,164,77,0,0,4.74,95.25,100.0
2026-06-02,1235,興泰,41.45,41.45,39.3,40.95,14,5,0,-2,0.27,99.72,100.0
2026-06-02,1236,宏亞,24.85,24.85,24.5,24.7,19,0,0,-2,0.49,99.5,100.0
2026-06-02,1240,茂生農經,57.0,57.2,56.9,57.2,24,-1,0,0,3.67,96.32,100.0
2026-06-02,1256,鮮活果汁-KY,212.0,212.0,201.5,203.0,188,-24,0,2,4.76,95.23,100.0
2026-06-02,1259,安心,58.0,58.0,56.7,57.7,8,0,0,0,26.13,73.86,100.0
2026-06-02,1260,富味鄉,23.8,24.35,23.25,24.35,33,3,0,0,0.0,0.0,0.0
2026-06-02,1264,德麥,268.0,269.0,265.0,267.0,67,1,0,0,1.67,98.32,100.0
2026-06-02,1268,漢來美食,169.0,169.5,168.5,169.0,29,2,0,0,1.62,98.37,100.0
2026-06-02,1269,乾杯,67.79,69.7,66.5,69.7,0,0,0,0,0.0,0.0,0.0
2026-06-02,1271,晨暉生技,60.11,60.2,59.5,60.0,49,-1,0,0,0.0,0.0,0.0
2026-06-02,1293,利統,27.7,26.9,26.9,26.9,0,0,0,0,0.0,0.0,0.0
2026-06-02,1294,漢田生技,78.0,78.0,78.0,78.0,2,0,0,0,0.69,99.3,100.0
2026-06-02,1295,生合,50.1,50.2,48.1,48.5,126,1,0,0,2.23,97.76,100.0
2026-06-02,1301,台塑,49.75,51.1,49.15,50.9,52270,9706,-18,-46,30.52,69.47,100.0
2026-06-02,1303,南亞,110.0,118.0,108.5,112.5,151715,16575,2133,-1292,34.51,65.48,100.0
2026-06-02,1304,台聚,13.4,13.4,12.95,13.3,10417,-1396,0,145,28.2,71.79,100.0
2026-06-02,1305,華夏,13.1,13.3,12.8,13.1,4534,-753,0,23,4.32,95.67,100.0
